timestamp,total_episodes,total_states_discovered,grid_h,grid_w,sparsity_percent,max_q_value,mean_q_value,close_range_avg_q
2025-12-02T13:09:08.725358,1000,932,106,28,31.40161725067385,8.823698043823242,0.3321233692686892,2.2853411296382546
2025-12-02T13:31:29.904413,1000,1226,107,29,39.51015146632291,3.2553608417510986,0.24956825327773025,1.5632894123936523
2025-12-02T14:27:13.211481,2000,1252,111,28,40.283140283140284,9.947733879089355,0.24303242749403525,1.2847619544980782
2025-12-02T15:04:10.639782,2000,1408,110,29,44.13793103448276,7.878133296966553,0.21905783494364267,1.3591198540324796
2025-12-02T15:07:58.894547,50,1,1,1,100.0,1.4546197652816772,1.4546197652816772,1.4546197652816772
2025-12-02T15:09:34.805484,50,57,90,1,63.33333333333333,10.316691398620605,0.22833546370180047,10.316691398620605
2025-12-02T15:38:19.166317,50,111,92,24,5.0271739130434785,7.071660995483398,0.6165355521669561,1.9455142691731453
2025-12-02T18:43:41.233612,2000,1277,114,27,41.487979207277455,7.95017671585083,0.27304516054158817,1.647413686469749
2025-12-02T19:54:10.337333,2000,1216,110,28,39.48051948051948,5.282158851623535,0.2681284213168601,1.6337889677711896
2025-12-02T20:31:52.071796,2000,1642,111,29,51.00963031997515,9.963419914245605,0.21667047852076116,1.3426411961471396
2025-12-02T21:24:20.988147,2000,1139,113,29,34.75740006103143,5.41775369644165,0.23335325099429463,1.2840683568801352
2025-12-02T22:16:07.375109,2000,1352,119,29,39.177050130396985,8.193666458129883,0.246479768848638,1.3407275059393473
2025-12-02T23:06:48.249094,2000,1031,117,27,32.63691041468819,5.765625476837158,0.272341448747641,1.4304644782786016
